resource_id,course_or_certification_title,course_or_certification_description,recommended_experience,schedule,level,estimated_duration,skills_youll_gain,skill_ids,category_id,category_name,offered_by_provider,provider_type,provider_trust_score_auto,resource_type,language,delivery_mode,cost_type,status,notes,external_course_or_certification_link,mapped_skill_names,skill_id_mapping_status,skill_id_mapping_notes
LR-001,Google Data Analytics Professional Certificate,"Get on the fast track to a career in Data Analytics.

In this certificate program, you’ll learn in-demand skills, and get AI training from Google experts. Learn at your own pace, no degree or experience required.

Gain an immersive understanding of the practices and processes used by a junior or associate data analyst in their day-to-day job

Learn key analytical skills (data cleaning, analysis, & visualization) and tools (spreadsheets, SQL, Python, Tableau) 

Understand how to clean and organize data for analysis, and complete analysis and calculations using spreadsheets, SQL and Python

Learn how to visualize and present data findings in dashboards, presentations and commonly used visualization platforms",Beginner Friendly,Flexible,,,"Data Analysis, Data Cleansing, Data Ethics, Data Presentation, Data Storytelling, Data Structures, Data Validation, File Management, Interactive Data Visualization, Interviewing Skills, Object Oriented Programming (OOP), Sampling (Statistics), Spreadsheet Software, Stakeholder Communications, Data Visualization, Web Presence",SK004;SK046;SK122;SK005;SK001;SK006;SK195;SK034;SK139;SK127;SK020,K01,"Technology, Data, and Digital Systems",Coursera / Google,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,https://www.coursera.org/professional-certificates/google-data-analytics,SQL; Classroom Management; Perform data mining; Data Analysis; Python Programming; Data Visualization; Data security principles; Content Writing; Establish an Information Security Management System; Statistics; Business Communication,mapped,unmapped_terms=In this certificate program | you’ll learn in-demand skills | no degree or experience required | Interviewing Skills | Web Presence
LR-002,Teaching 21st Century Skills in College Courses,,,,,,,SK045;SK046;SK047;SK048,K05,"Education, Training, and Community Services",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Lesson Planning; Classroom Management; Student Assessment; Training Facilitation,category_fallback_review,category fallback used; manually review resource before final release; unmapped_terms=Teaching 21st Century Skills in College Courses
LR-003,,,,,,,,SK056;SK057;SK058;SK059,K06,"Healthcare, Caregiving, and Wellness",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,https://openlearning.unesco.org/courses/course-v1:UNESCO+Hydro-Resilience_01+2025/about,Patient Assessment Support; Medical Terminology; Clinical Documentation; Caregiving,category_fallback_review,category fallback used; manually review resource before final release
LR-004,"AWS Certified Solutions Architect —
Associate","Issued by Amazon Web Services. Validates ability
to design scalable, cost-optimized, fault-tolerant
cloud architectures on AWS. One of the most
in-demand cloud certifications globally. Source:
aws.amazon.com/certification","1+ year of hands-on experience
with AWS; familiarity with
compute, storage, networking,
and database services","Exam on-demand at
Pearson VUE / online
proctored; valid 3 years",Intermediate," 120-180 hours of
study recommended","Cloud Architecture, AWS Services (EC2/S3/RDS/VPC), High Availability
Design, Security & IAM, Cost Optimization",SK003;SK040;SK011;SK139,K01,"Technology, Data, and Digital Systems",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Web Development; Graphic Design; Cloud Computing; Establish an Information Security Management System,mapped,unmapped_terms=AWS Certified Solutions Architect — | cost-optimized | fault-tolerant | cloud architectures on AWS. One of the most | in-demand cloud certifications globally. Source: | aws.amazon.com | AWS Services (EC2 | S3 | RDS | VPC)
LR-005,"Google Data Analytics Professional
Certificate","Offered by Google via Coursera. Covers data
cleaning, analysis, visualization, and storytelling
using spreadsheets, SQL, Tableau, and R.
Recognized by 150+ employers. Source: coursera.o
rg/professional-certificates/google-data-analytics",No prior experience required ,"Self-paced; ~10
hours/week",Beginner,6 months (flexible),"SQL, Data Cleaning, Tableau / Data Visualization, R Programming,
Spreadsheet Analysis, Analytical Thinking",SK004;SK122;SK079;SK005;SK006;SK034;SK023;SK150,K01,"Technology, Data, and Digital Systems",Coursera / Google,MOOC Platform,88,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,SQL; Perform data mining; Housekeeping; Data Analysis; Data Visualization; Content Writing; Sales Techniques; Assembly (computer programming),mapped,unmapped_terms=Recognized by 150+ employers. Source: coursera.o | rg | professional-certificates | Analytical Thinking
LR-006,CompTIA Security+,"Vendor-neutral cybersecurity certification by
CompTIA. Covers threats, vulnerabilities,
cryptography, identity management, and incident
response. DoD 8570 compliant. Source:
comptia.org/certifications/security","CompTIA Network+
recommended; 2 years IT
experience with security focus
preferred","Exam on-demand at
Pearson VUE or online
proctored; valid 3 years
(renewable via CEUs)",Intermediate,"60-90 hours of study
recommended","Threat Detection, Network Security, Cryptography, Incident Response,
Identity & Access Management, Risk Management",SK010;SK139;SK119,K01,"Technology, Data, and Digital Systems",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Cybersecurity Awareness; Establish an Information Security Management System; Risk Reporting,mapped,unmapped_terms=CompTIA. Covers threats | vulnerabilities | cryptography | identity management | and incident | response. DoD 8570 compliant. Source: | comptia.org | certifications | security Threat Detection | Cryptography
LR-007,"Microsoft Azure Fundamentals
(AZ-900)","Entry-level Microsoft certification covering cloud
concepts, Azure services, pricing, SLAs, and cloud
governance. Ideal starting point for IT and non-IT
professionals. Source: learn.microsoft.com/en-us/ce
rtifications/azure-fundamentals","No prerequisites; suitable for all
backgrounds","Exam on-demand at
Pearson VUE or online
proctored; no expiry",Beginner,8-12 hours ,"Cloud Computing Concepts, Azure Core Services, Azure Pricing & SLAs,
Azure Management Tools, Security & Compliance Basics",SK011;SK330;SK130;SK139,K01,"Technology, Data, and Digital Systems",Microsoft,Industry Vendor,85,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Cloud Computing; Translate requirements into visual design; Data science; Establish an Information Security Management System,mapped,unmapped_terms=(AZ-900) Entry-level Microsoft certification covering cloud | pricing | SLAs | and cloud | governance. Ideal starting point for IT and non-IT | professionals. Source: learn.microsoft.com | en-us | rtifications
LR-008,"Certified Information Systems Security
Professional (CISSP)","Issued by (ISC)2. The gold standard in
cybersecurity management. Covers 8 domains
including security architecture, risk management,
software development security, and cryptography.
Source: isc2.org/certifications/cissp","Minimum 5 years paid work
experience in 2+ of the 8 CISSP
domains required","Exam at Pearson VUE
(CAT format); valid 3 years
(120 CPE credits for
renewal)","Advanced /
Professional","300-500 hours of
study recommended","Security Architecture, Risk Management, Access Control, Cryptography,
Network Security, Software Development Security",SK144;SK154;SK010;SK119;SK160;SK139;SK003,K01,"Technology, Data, and Digital Systems",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Security engineering; Analyse large-scale data in healthcare; Cybersecurity Awareness; Risk Reporting; Debug software; Establish an Information Security Management System; Web Development,mapped,unmapped_terms=including security architecture | and cryptography | Source: isc2.org | certifications | Access Control | Cryptography
LR-009,"CFA Level I (Chartered Financial
Analyst)","Globally recognized credential covering investment
tools, asset valuation, portfolio management, and
financial reporting. Administered by CFA Institute
(USA). Source: cfainstitute.org","Bachelor's degree or equivalent
work experience; 4,000 hrs
professional experience for
charterholder","Self-paced; 3 exam
windows/year (Feb, May,
Aug/Nov)",Professional,"300+ hours of study
recommended","Financial Analysis, Equity Valuation, Fixed Income, Portfolio Management,
Ethics",SK129;SK146;SK013;SK005;SK139;SK411,K01,"Technology, Data, and Digital Systems",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Use scripting programming; ICT security standards; Financial Reporting; Data Analysis; Establish an Information Security Management System; Health care occupation-specific ethics,mapped,unmapped_terms=CFA Level I (Chartered Financial | Analyst) Globally recognized credential covering investment | asset valuation | portfolio management | Equity Valuation | Fixed Income
LR-010,"Certified Public Accountant (CPA) —
PH Board Exam","Philippine licensure exam administered by PRC /
BOA covering financial accounting, auditing,
taxation, and management services. Source:
prc.gov.ph","Twice yearly (May &
October); review courses
available at CPAR, ReSA,
Becker","Twice yearly (May &
October); review courses
available at CPAR, ReSA,
Becker","Licensure /
Professional","6-12 months review
recommended","Financial Reporting, Auditing, BIR Tax Compliance, Management
Accounting, PFRS/IFRS",SK012;SK206;SK013;SK112;SK008,K02,"Business, Finance, and Office Administration",Other Trusted Provider,Other,70,Course/Certification,English,Online/Self-paced,Free/Paid,Active/Review,,,Bookkeeping; Operations management; Financial Reporting; Regulatory Compliance; Database Management,mapped,unmapped_terms=Certified Public Accountant (CPA) — | PH Board Exam Philippine licensure exam administered by PRC | auditing | taxation | Auditing | PFRS
