skill_id,category_id,skill_category,skill_subcategory,skill_name,skill_description,psoc_code,psoc_category,isco08_code,esco_skill_reference,related_skills,esco_skill_uri,esco_preferred_label,esco_alternative_labels,esco_description,esco_version,mapping_confidence,mapping_status,source_note
SK001,K01,"Technology, Data, and Digital Systems",Software and Applications,Python Programming,"Ability to develop scripts, applications, or backend logic using Python.",2512,Software Developers,2512,programming languages,"Python Programming; programming languages; programming languages for smart contract; Software and Applications; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/495ce586-09d7-4cec-83d7-2821be6590c4,smart contract programming languages,programming languages for smart contract,"Essential Smart Contract programming languages include Solidity, Rust, JavaScript, Vyper and Yul.",ESCO v1.2.0 / API-ready,0.65,manual_review,seed_reference
SK002,K01,"Technology, Data, and Digital Systems",Software and Applications,JavaScript Programming,Ability to build interactive web functions using JavaScript.,2512,Software Developers,2512,JavaScript,JavaScript Programming; JavaScript; Client-side JavaScript; Live Script; Escript; CSJS; Mocha; Software and Applications,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,Client-side JavaScript; Live Script; Escript; CSJS; Mocha; Server-side JavaScript,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in JavaScript.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK003,K01,"Technology, Data, and Digital Systems",Software and Applications,Web Development,Ability to create and maintain websites or web applications.,2513,Web and Multimedia Developers,2513,develop websites,"Web Development; develop websites; developing staff; help strengthen staff; build up staff; Software and Applications; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/714eebcb-569a-4f1b-b592-28f70b59a9ba,develop staff,developing staff; help strengthen staff; build up staff,"Lead employees to meet the organisations expectations for productivity, quality and goal accomplishment. Provide effective performance feedback through employee recognition and reward in conjunction with the Human Resources Manager as required.",ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK004,K01,"Technology, Data, and Digital Systems","Data, Analytics, and Statistics",SQL,"Ability to query, manage, and analyze structured data using SQL.",2521,Database Designers and Administrators,2521,database query languages,"SQL; database query languages; DMX; SuprTool; OttoQL; XPath; QUEL; Data, Analytics, and Statistics",http://data.europa.eu/esco/skill/9cf681c7-89ec-470c-b651-7fe03786f586,query languages,DMX; SuprTool; OttoQL; XPath; QUEL; ISBL; .QL; F-logic; SPL; FQL; OPath; MQL; Poliqarp; HTSQL; YQL; Gellish; XSPARQL; Concept-Oriented; TMQL; RDQL; OCL; OQL; CQLF; ReQL; Datalog,The field of standardised computer languages for retrieval of information from a database and of documents containing the needed information.,ESCO v1.2.0 / API-ready,0.73,partial_match,seed_reference
SK005,K01,"Technology, Data, and Digital Systems","Data, Analytics, and Statistics",Data Analysis,"Ability to interpret, clean, summarize, and communicate data for decision-making.",2421,Management and Organization Analysts,2421,data analysis,"Data Analysis; analyse data performance; perform analysis of data; implement data analysis; performing data analysis; undertake data analysis; Data, Analytics, and Statistics; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/2b92a5b2-6758-4ee3-9fb4-b6387a55cc8f,perform data analysis,analyse data performance; perform analysis of data; implement data analysis; performing data analysis; undertake data analysis; complete data analysis,"Collect data and statistics to test and evaluate in order to generate assertions and pattern predictions, with the aim of discovering useful information in a decision-making process.",ESCO v1.2.0 / API-ready,0.73,partial_match,seed_reference
SK006,K01,"Technology, Data, and Digital Systems","Data, Analytics, and Statistics",Data Visualization,"Ability to present data through charts, dashboards, and visual reports.",2421,Management and Organization Analysts,2421,data visualisation,"Data Visualization; data visualisation; data presentation software; Data, Analytics, and Statistics; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1,data visualisation software,data presentation software,"A computer tool or application that creates a graphical and visual representation of data, allowing a better understanding and interpretation of complex data through visual elements such as maps, charts, infographics or graphs.",ESCO v1.2.0 / API-ready,0.75,partial_match,seed_reference
SK007,K01,"Technology, Data, and Digital Systems","Networks, Databases, and IT Support",Technical Support,"Ability to troubleshoot user, device, network, or software issues.",3512,ICT User Support Technicians,3512,ICT troubleshooting,"Technical Support; ICT troubleshooting; undertake ICT troubleshooting; implement ICT troubleshooting; performing ICT troubleshooting; complete ICT troubleshooting; ICT troubleshooting performance; Networks, Databases, and IT Support",http://data.europa.eu/esco/skill/744442ac-c157-4350-8be0-ce454df4f5c5,perform ICT troubleshooting,undertake ICT troubleshooting; implement ICT troubleshooting; performing ICT troubleshooting; complete ICT troubleshooting; ICT troubleshooting performance,"Identify problems with servers, desktops, printers, networks, and remote access, and perform actions which solve the problems.",ESCO v1.2.0 / API-ready,0.77,partial_match,seed_reference
SK008,K01,"Technology, Data, and Digital Systems","Networks, Databases, and IT Support",Database Management,"Ability to organize, maintain, and secure database records.",2521,Database Designers and Administrators,2521,manage database,"Database Management; manage database; implement database theory; Networks, Databases, and IT Support; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/29fb0fb5-dfc4-4098-ac9b-3a712000f48f,manage database,implement database theory,"Apply database design schemes and models, define data dependencies, use query languages and database management systems (DBMS) to develop and manage databases.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
SK009,K01,"Technology, Data, and Digital Systems","Networks, Databases, and IT Support",Network Administration,Ability to configure and maintain computer networks.,2522,Systems Administrators,2522,manage computer networks,"Network Administration; manage computer networks; design LAN; design wide area network; design WAN; design local area network; Networks, Databases, and IT Support; Technology, Data, and Digital Systems",http://data.europa.eu/esco/skill/2164e860-7f20-48bc-b98c-5d9f8a561550,design computer network,design LAN; design wide area network; design WAN; design local area network,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements.",ESCO v1.2.0 / API-ready,0.62,manual_review,seed_reference
SK010,K01,"Technology, Data, and Digital Systems",Telecommunications and Digital Infrastructure,Cybersecurity Awareness,Ability to recognize and follow basic security practices for digital systems.,2529,Database and Network Professionals Not Elsewhere Classified,2529,cyber security,Cybersecurity Awareness; cyber security; ICT security; cybersecurity; digital security; information and communications technology security; IT security; Telecommunications and Digital Infrastructure,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,cyber security,ICT security; cybersecurity; digital security; information and communications technology security; IT security; information security,"The methods and best practices that protect ICT systems, networks, computers, devices, services, processes and people against unauthorised access, modification and/or denial of service of assets.",ESCO v1.2.0 / API-ready,0.98,mapped,seed_reference
